timestamp,commit,branch,scope,statements_pct
2026-06-11T09:36:51Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/cmd/genhash,0.0
2026-06-11T09:36:51Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/cmd/rtorrent-webui,20.9
2026-06-11T09:36:51Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/cmd/scgi-probe,0.0
2026-06-11T09:36:51Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/api,51.9
2026-06-11T09:36:51Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/config,49.3
2026-06-11T09:36:51Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/insight/disk,0.0
2026-06-11T09:36:51Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/insight/geoip,86.4
2026-06-11T09:36:51Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/insight/history,80.1
2026-06-11T09:36:51Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/insight/search,0.0
2026-06-11T09:36:51Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/insight/system,69.3
2026-06-11T09:36:51Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/model,0.0
2026-06-11T09:36:51Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/poll,73.7
2026-06-11T09:36:51Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/rpc,57.0
2026-06-11T09:36:51Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/scgi,84.2
2026-06-11T09:36:51Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/sse,58.8
2026-06-11T09:36:51Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/web,95.7
2026-06-11T09:36:51Z,2299aec+dirty,master,total,58.2
2026-06-11T09:49:42Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/cmd/genhash,0.0
2026-06-11T09:49:42Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/cmd/rtorrent-webui,20.9
2026-06-11T09:49:42Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/cmd/scgi-probe,0.0
2026-06-11T09:49:42Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/api,51.9
2026-06-11T09:49:42Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/config,49.3
2026-06-11T09:49:42Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/insight/disk,0.0
2026-06-11T09:49:42Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/insight/geoip,86.4
2026-06-11T09:49:42Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/insight/history,80.1
2026-06-11T09:49:42Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/insight/search,0.0
2026-06-11T09:49:42Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/insight/system,69.3
2026-06-11T09:49:42Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/model,0.0
2026-06-11T09:49:42Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/poll,73.7
2026-06-11T09:49:42Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/rpc,57.0
2026-06-11T09:49:42Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/scgi,84.2
2026-06-11T09:49:42Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/internal/sse,58.8
2026-06-11T09:49:42Z,2299aec+dirty,master,github.com/mlamp/rtorrent-webui/web,95.7
2026-06-11T09:49:42Z,2299aec+dirty,master,total,58.2
